DC D8 7F 6F 9B 60 AA 8F 1F 01 0F 04 57 90 A2 D3  **
10 14 30 EC 9B 60 AA 8F 1F 01 0F 04 57 90 A2 D3  **
85 81 94 DD 9B 60 AA 8F 1F 01 0F 04 57 90 A2 D3 
AF 4D 99 1C 9B 60 AA 8F 1F 01 0F 04 57 90 A2 D3 
DC D8 7F 6F E5 34 80 A5 1F 01 0F 04 57 90 A2 D3 
DC D8 7F 6F 12 67 24 01 1F 01 0F 04 57 90 A2 D3 
DC D8 7F 6F 34 AA CF EA 1F 01 0F 04 57 90 A2 D3 
DC D8 7F 6F 19 9C D4 F1 1F 01 0F 04 57 90 A2 D3 
DC D8 7F 6F 84 83 56 73 1F 01 0F 04 57 90 A2 D3 
DC D8 7F 6F 31 AC CC E9 1F 01 0F 04 57 90 A2 D3 
DC D8 7F 6F C3 F9 6B 4E 1F 01 0F 04 57 90 A2 D3 
DC D8 7F 6F 27 41 37 12 1F 01 0F 04 57 90 A2 D3 
DC D8 7F 6F 9B 60 AA 8F 98 CF C1 4D 57 90 A2 D3 
DC D8 7F 6F 9B 60 AA 8F 66 B0 BE CC 57 90 A2 D3 
DC D8 7F 6F 9B 60 AA 8F 29 1A 14 29 57 90 A2 D3 
DC D8 7F 6F 9B 60 AA 8F CF 69 67 BC 57 90 A2 D3 
DC D8 7F 6F 9B 60 AA 8F 14 89 87 87 57 90 A2 D3 
DC D8 7F 6F 9B 60 AA 8F A1 5E 50 E5 57 90 A2 D3 
DC D8 7F 6F 9B 60 AA 8F 12 8A 84 82 57 90 A2 D3 
DC D8 7F 6F 9B 60 AA 8F 22 92 9C AA 57 90 A2 D3 
DC D8 7F 6F 9B 60 AA 8F 67 79 87 F4 57 90 A2 D3  **
DC D8 7F 6F 9B 60 AA 8F 72 6C B8 DE 57 90 A2 D3 
DC D8 7F 6F 9B 60 AA 8F 01 1F 2D 38 57 90 A2 D3 
DC D8 7F 6F 9B 60 AA 8F DF C1 54 9F 57 90 A2 D3 
DC D8 7F 6F 9B 60 AA 8F 75 6B B1 D0 57 90 A2 D3 
DC D8 7F 6F 9B 60 AA 8F 7F 61 AF C4 57 90 A2 D3 
DC D8 7F 6F 9B 60 AA 8F B5 AB EA 4B 57 90 A2 D3 
DC D8 7F 6F 9B 60 AA 8F CC D2 61 B9 57 90 A2 D3 
DC D8 7F 6F 9B 60 AA 8F 1F 01 0F 04 84 FE 1F 00 
DC D8 7F 6F 9B 60 AA 8F 1F 01 0F 04 92 C4 33 16 
DC D8 7F 6F 9B 60 AA 8F 1F 01 0F 04 14 55 24 90 
DC D8 7F 6F 9B 60 AA 8F 1F 01 0F 04 B5 AD 7D 31 
DC D8 7F 6F 9B 60 AA 8F 1F 01 0F 04 C7 3B 99 43 
DC D8 7F 6F 9B 60 AA 8F 1F 01 0F 04 6B D4 DA EF 
DC D8 7F 6F 9B 60 AA 8F 1F 01 0F 04 AD 85 4D 29 
DC D8 7F 6F 9B 60 AA 8F 1F 01 0F 04 E2 54 D3 66 
60 F9 E2 F2 9B 60 AA 8F 1F 01 0F 04 57 90 A2 D3 
43 32 0A 1A 9B 60 AA 8F 1F 01 0F 04 57 90 A2 D3 
04 48 37 27 9B 60 AA 8F 1F 01 0F 04 57 90 A2 D3 
87 43 BF AF 9B 60 AA 8F 1F 01 0F 04 57 90 A2 D3 
02 4C 35 25 9B 60 AA 8F 1F 01 0F 04 57 90 A2 D3 
C0 39 82 92 9B 60 AA 8F 1F 01 0F 04 57 90 A2 D3 
93 5B B3 A3 9B 60 AA 8F 1F 01 0F 04 57 90 A2 D3 
B8 69 AA BA 9B 60 AA 8F 1F 01 0F 04 57 90 A2 D3 
DC D8 7F 6F A2 F1 3B 27 1F 01 0F 04 57 90 A2 D3 
DC D8 7F 6F 22 B1 7B E7 1F 01 0F 04 57 90 A2 D3 
DC D8 7F 6F 11 25 EF 40 1F 01 0F 04 57 90 A2 D3 
DC D8 7F 6F 86 E3 29 11 1F 01 0F 04 57 90 A2 D3 
DC D8 7F 6F FD 53 99 DA 1F 01 0F 04 57 90 A2 D3 
DC D8 7F 6F 93 64 AE 83 1F 01 0F 04 57 90 A2 D3 
DC D8 7F 6F 79 11 DB 1C 1F 01 0F 04 57 90 A2 D3 
DC D8 7F 6F 6C 96 5C 8E 1F 01 0F 04 57 90 A2 D3 
DC D8 7F 6F 2C D7 68 FA 1F 01 0F 04 57 90 A2 D3  **
DC D8 7F 6F 26 DD 76 EE 1F 01 0F 04 57 90 A2 D3 
DC D8 7F 6F 15 EE 23 88 1F 01 0F 04 57 90 A2 D3 
DC D8 7F 6F AE 55 F5 E5 1F 01 0F 04 57 90 A2 D3 
DC D8 7F 6F B3 48 D2 DF 1F 01 0F 04 57 90 A2 D3 
DC D8 7F 6F D9 22 6C 0B 1F 01 0F 04 57 90 A2 D3 
DC D8 7F 6F 6D 96 AB 78 1F 01 0F 04 57 90 A2 D3 
DC D8 7F 6F 4C B7 C8 3A 1F 01 0F 04 57 90 A2 D3 
DC D8 7F 6F 9B 60 AA 8F BC FF 52 A7 57 90 A2 D3 
DC D8 7F 6F 9B 60 AA 8F B6 E1 46 AD 57 90 A2 D3 
DC D8 7F 6F 9B 60 AA 8F C4 77 A2 DF 57 90 A2 D3 
DC D8 7F 6F 9B 60 AA 8F E2 1D EE F9 57 90 A2 D3 
DC D8 7F 6F 9B 60 AA 8F 2D 57 6B 36 57 90 A2 D3 
DC D8 7F 6F 9B 60 AA 8F D0 4B 8A CB 57 90 A2 D3 
DC D8 7F 6F 9B 60 AA 8F BA F5 5E A1 57 90 A2 D3 
DC D8 7F 6F 9B 60 AA 8F 6C 94 E9 77 57 90 A2 D3 
DC D8 7F 6F 9B 60 AA 8F 1F 01 0F 04 34 D2 83 F2 
DC D8 7F 6F 9B 60 AA 8F 1F 01 0F 04 69 4D 41 30 
DC D8 7F 6F 9B 60 AA 8F 1F 01 0F 04 2C C2 8B FA 
DC D8 7F 6F 9B 60 AA 8F 1F 01 0F 04 11 1D 69 18 
DC D8 7F 6F 9B 60 AA 8F 1F 01 0F 04 E3 48 CE BF 
DC D8 7F 6F 9B 60 AA 8F 1F 01 0F 04 B1 DD 09 78 
DC D8 7F 6F 9B 60 AA 8F 1F 01 0F 04 94 12 E3 92 
DC D8 7F 6F 9B 60 AA 8F 1F 01 0F 04 8F 00 EA 9B 
F4 CC 6B 53 9B 60 AA 8F 1F 01 0F 04 57 90 A2 D3 
74 8C 2B 93 9B 60 AA 8F 1F 01 0F 04 57 90 A2 D3 
0F 3C 9B 58 9B 60 AA 8F 1F 01 0F 04 57 90 A2 D3 
69 0F A8 0D 9B 60 AA 8F 1F 01 0F 04 57 90 A2 D3 
FA CB 6C 5A 9B 60 AA 8F 1F 01 0F 04 57 90 A2 D3 
73 02 A5 1A 9B 60 AA 8F 1F 01 0F 04 57 90 A2 D3 
DB 56 F1 E6 9B 60 AA 8F 1F 01 0F 04 57 90 A2 D3 
E1 4B EC C1 9B 60 AA 8F 1F 01 0F 04 57 90 A2 D3
